season_epi_code,pitched_business_identifier,pitched_business_desc,deal_status,deal_shark,deal,description,episode,category,entrepreneurs,location,website,asked_for,exchange_for_stake,valuation,season,shark1,shark2,shark3,shark4,shark5,title,episode_season,multiple_entrepreneurs
622,Sseko Designs,"handcrafted sandals with interchangeable accents . Sseko Designs have a history of employing women in Uganda to make sandals, giving them the opportunity to earn money and pursue education. The sandal company is pioneer in producing t-strap sandals and unique custom sandals. Sseko also produces lace up and stylish ribbon sandals unlike footwear you have seen before.",0,,False,"Sseko Designs is an ethical fashion brand that sells sandals, shoes, handbags and accessories that are all handcrafted in East Africa.",19.0,Men and Women's Shoes,Ben and Liz Bohannon,"Portland, OR",http://www.ssekodesigns.com,300000.0,10.0,3000000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Sseko Designs,6-19,True
621,Aqua Vault,a locking container that can be attached to chairs and rails to secure valuables while swimming ,1,DJ,,,,,,,,,,,,,,,,,,,
621,Echo Valley Meats,"the gourmet meat business founder returns to pitch his company again . Specializing in â€œold fashion butcher shopâ€ quality, Echo Valley Meats provides award winning meats out of Peoria, Illinois for the virtual gourmet online market. Its founder, Dave Alwan, is a third generation cattleman/farmer/businessman, whoâ€™s made it his mission to provide the best hams, smoked sausages, and other meats. He has traveled to Germany and Denmark to be trained by the best, and it shows! Although it primarily deals in high-quality meats, it also sells homemade cheese spreads, cinnamon roasted nuts, and cookie dough. You might have already gotten a taste of Echo Valley Meats as a product on Shark Tank, you can also go download their catalog to settle your cravings!",1,MC,True,"Echo Valley Meats is a retail, online gift catalog and catering company and is quickly becoming a household name. Premium meats, smoked hams, and award winning sausages make personal and corporate gift giving easy and full of flavor.",21.0,Specialty Food,Dave Alwan,"Bartonville, IL",http://www.echovalleymeats.com,150000.0,20.0,750000.0,4.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Echo Valley Meats,4-21,False
621,Echo Valley Meats,"the gourmet meat business founder returns to pitch his company again . Specializing in â€œold fashion butcher shopâ€ quality, Echo Valley Meats provides award winning meats out of Peoria, Illinois for the virtual gourmet online market. Its founder, Dave Alwan, is a third generation cattleman/farmer/businessman, whoâ€™s made it his mission to provide the best hams, smoked sausages, and other meats. He has traveled to Germany and Denmark to be trained by the best, and it shows! Although it primarily deals in high-quality meats, it also sells homemade cheese spreads, cinnamon roasted nuts, and cookie dough. You might have already gotten a taste of Echo Valley Meats as a product on Shark Tank, you can also go download their catalog to settle your cravings!",1,MC,True,"Echo Valley Meats is a retail, online gift catalog and catering company and is quickly becoming a household name. Premium meats, smoked hams, and award winning sausages make personal and corporate gift giving easy and full of flavor.",22.0,Specialty Food,Dave Alwan,"Bartonville, IL",http://www.echovalleymeats.com,150000.0,20.0,750000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Echo Valley Meats,6-22,False
621,EmazingLights,"LED-powered light gloves for gloving in dance clubs . Opening doors to creative expression, what was once a simple LED toy for music festivals, these gloves have created a community of Light Show artists to transform the way we think of entertainment and art. A trending product growing exponentially in popularity, EmazingLights provides LEDs, gloves, accessories, and apparel for light enthusiasts everywhere. Perfect for clubbing, musical events, and light shows, EmazingLights products are the first in a wave of new party accessories. Located in sunny California, they also puts on local events such as Friday Night Lights, BOSS Competitions, and the International Gloving Championship!",1,DJ+MC,True,"EmazingLights is pioneering the new Gloving Movement into a skillful expression of art, along with iHeartRaves, which provides wildly unique festival fashion for Raves, Festivals and Beyond.",22.0,Party Supplies,Brian Lim,"Los Angeles, CA",http://www.emazinglights.com,650000.0,5.0,13000000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,EmazingLights,6-22,False
621,Naja,"a lingerie brand . Najaâ€™s lingerie lines are built on the belief that a high-quality bra should not cost you $80+, but should also not sacrifice quality to attain a low price.Â Stylish in design, Naja underwear, bras, knickers and lingerie products feature a quality and attention to detail that only luxury brands tend to provide. Right down to the materials used for their memory foam cups, interior bra prints, and ultrasonic sealed bra straps. The products are also artsy, especially their â€œCheeky Knickersâ€ collection, which features prints with foods on them, kitty cats, and East Asian-inspired designs. Donâ€™t be alarmed though, if you like traditional designs and colors, Naja still has you covered (literally)! Naja also combines their business with an entrepreneurial stroke with their sewing program through the Golondrinas Foundation, which teaches single or head of household mothers to sew and make a living doing it! Add a little style to your behind and grab a pair now!",0,,False,Women's underwear characterized by attention to detail and fair prices. All Naja lingerie is made by single mothers or women heads of household so every purchase helps a woman help herself.,22.0,Women's Apparel,Catalina Girald,"San Francisco, CA",http://www.naja.co,500000.0,5.0,10000000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Naja,6-22,False
620,GreenBox,"a pizza delivery box made out of recycled materials that can be broken down into plates and storage containers . Eco-friendly and 100% recyclable, the GreenBox Pizza Box is a game changer in the Pizza delivery industry. It is uniquely engineered to break up into four sturdy plates and still maintain itâ€™s box use for storing left overs. This eliminates the need to waste the likes of plastic wrap, aluminum foil disposable plates and more. Own a Pizza place? GreenBox offers customization to suit your branding! Get GreenBox, the pizza box of the 21st century.",1,Others,True,"GreenBox is the innovator behind the patented, multi-functional GreenBox pizza box. Made of 100% recycled and recyclable material, the GreenBox breaks into plates and a storage unit for leftovers, completely eliminating the need for serving plates and wasteful storage materials.",16.0,Storage and Cleaning Products,Ned Kensing and Jennifer Wright-Laracy,"New York, NY",http://greenboxny.com,300000.0,10.0,3000000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,GreenBox,6-16,True
620,Phonesoap,"a device that uses ultraviolet light to remove bacteria from cell phones while charging them . â€“ UV Phone Device Sanitizer & Charger Have you ever taken a moment to realize how dirty our phones are? Whether you have or not, it is a fact that our phones are EXTREMELYÂ filthy. The truth is our phones are more bacteria-filledÂ than a toilet or the scum off the bottom of your shoe. Sure, you can use phone sanitizer wipes, but that can get somewhat costly and is rather inconvenient. Enter PhoneSoap Phone Sanitizer, the first and only of its kind and the easiest and most effective way to sanitize your phone. Killing 99.9% of germs with powerful UV lights,Â PhoneSoap allows you toÂ seamlessly sanitize your smart phone during the time you are charging.",1,LG,,,,,,,,,,,,,,,,,,,
620,Tycoon Real Estate,"a crowd investing platform for real estate . Tycoon Real Estate, the online investment club for serious real estate investors seeking high-end, otherwise inaccessible private investments of virtually all asset classes. Discover deals, share expertise, invest together, and profit with Tycoon Real Estate.",0,,False,"An online investment club that helps accredited investors who want to find, invest in and share quality private investment deals.",16.0,Online Services,Aaron McDaniel,"San Francisco, CA",https://www.tycooninvestors.com,50000.0,5.0,1000000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Tycoon Real Estate,6-16,False
620,Victoria's Kitchen Almond Water,"a line of almond water beverages . Inspired by a very special grandmaâ€™s recipe from South France, Victoriaâ€™s Kitchen Almond Water is a tasty alternative to lemonade or Iced Tea and an absolute delight! Containing purified water, cane sugar, natural flavorsÂ andÂ extracts, Victoriaâ€™s Kitchen Almond Water uses only the best ingredients. The flavors include Original, Coconut and Organic Lemonade. Yum!",0,,,,,,,,,,,,,,,,,,,,
619,Bello Verde,a custom suit and clothing label ,0,,False,Custom men's clothing for custom lifestyles.,15.0,Men and Women's Apparel,Joe Chay,"Columbus, OH",http://www.belloverde.com,360000.0,6.0,6000000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Bello Verde,6-15,False
